timestamp	power(W)	freq	%usr	%nice	%sys	%iowait	%irq	%soft	%steal	%guest	%idle
1339005705	0.012465	0.8	1.55	0.00	1.04	0.00	0.00	0.00	0.00	0.00	97.41
1339005706	0.012465	0.8	4.02	0.00	4.02	0.00	0.00	0.00	0.00	0.00	91.96
1339005707	0.012465	0.8	0.51	0.00	0.00	0.00	0.00	0.00	0.00	0.00	99.49
1339005708	0.012465	1.6	3.52	0.00	3.52	0.00	0.00	0.00	0.00	0.00	92.96
1339005709	0.012465	0.8	2.09	0.00	0.52	0.00	0.00	0.00	0.00	0.00	97.38
1339005710	0.012465	0.8	3.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	96.00
1339005711	0.012465	0.8	1.01	0.00	1.51	0.00	0.00	0.00	0.00	0.00	97.49
1339005712	0.012465	0.8	1.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	98.99
1339005713	0.012465	2.535	1.50	0.00	1.00	4.50	0.00	0.00	0.00	0.00	93.00
1339005714	14.439552	0.8	8.00	0.00	1.00	15.00	0.00	0.00	0.00	0.00	76.00
1339005715	14.439552	0.8	6.97	0.00	1.99	0.00	0.00	0.50	0.00	0.00	90.55
1339005716	14.439552	0.8	8.04	0.00	2.01	0.00	0.00	0.00	0.00	0.00	89.95
1339005717	14.439552	0.8	5.53	0.00	2.51	0.00	0.00	0.00	0.00	0.00	91.96
1339005718	14.439552	2.535	7.07	0.00	2.53	0.00	0.00	0.00	0.00	0.00	90.40
1339005719	14.439552	0.8	5.00	0.00	2.00	5.00	0.00	1.00	0.00	0.00	87.00
1339005720	14.439552	0.8	8.54	0.00	1.01	0.00	0.00	0.00	0.00	0.00	90.45
1339005721	14.439552	0.8	6.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	93.00
1339005722	14.439552	0.8	9.55	0.00	2.51	0.00	0.00	0.00	0.00	0.00	87.94
1339005723	14.439552	0.8	5.50	0.00	2.50	0.00	0.00	0.50	0.00	0.00	91.50
1339005724	14.439552	0.8	9.50	0.00	3.50	2.50	0.00	0.00	0.00	0.00	84.50
1339005725	14.439552	0.8	10.50	0.00	3.00	0.00	0.00	0.00	0.00	0.00	86.50
1339005726	14.439552	0.8	11.44	0.00	4.48	0.00	0.00	1.00	0.00	0.00	83.08
1339005727	14.439552	0.8	11.44	0.00	2.49	0.00	0.00	0.00	0.00	0.00	86.07
1339005728	14.439552	0.8	9.50	0.00	3.00	0.00	0.00	0.00	0.00	0.00	87.50
1339005729	15.729012	0.8	9.00	0.00	2.50	0.00	0.00	0.50	0.00	0.00	88.00
1339005730	15.729012	0.8	5.47	0.00	3.48	0.00	0.00	0.00	0.00	0.00	91.04
1339005731	15.729012	0.8	6.57	0.00	2.53	3.03	0.00	0.00	0.00	0.00	87.88
1339005732	15.729012	0.8	6.57	0.00	3.54	0.00	0.00	0.00	0.00	0.00	89.90
1339005733	15.729012	0.8	9.45	0.00	2.99	0.00	0.00	0.50	0.00	0.00	87.06
1339005734	15.729012	1.6	8.59	0.00	2.53	13.13	0.00	0.00	0.00	0.00	75.76
1339005735	15.729012	0.8	11.00	0.00	5.50	20.00	0.00	0.50	0.00	0.00	63.00
1339005736	15.729012	0.8	8.50	0.00	3.50	0.00	0.00	0.00	0.00	0.00	88.00
